time/total_timesteps,rollout/exploration_rate,time/time_elapsed,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/loss
1986,0.01,32,60,232,240.3913043478261,2.1739130434782608,0.0002,446,0.011562658473849297
2032,0.01,33,60,236,240.87234042553192,2.1914893617021276,0.0002,457,0.013713179156184196
2076,0.01,34,60,240,241.29166666666666,2.2083333333333335,0.0002,468,0.04149376600980759
2112,0.01,35,60,244,241.29166666666666,2.2083333333333335,0.0002,477,0.022472018375992775
2132,0.01,35,60,248,240.9795918367347,2.204081632653061,0.0002,482,0.014070828445255756
2170,0.01,36,60,252,240.7,2.2,0.0002,492,0.01582176238298416
2190,0.01,36,59,256,239.47058823529412,2.156862745098039,0.0002,497,0.01470835879445076
2226,0.01,37,59,260,239.59615384615384,2.1538461538461537,0.0002,506,0.009830966591835022
2246,0.01,37,59,264,239.59615384615384,2.1538461538461537,0.0002,511,0.01265051867812872
2310,0.01,38,59,268,239.16981132075472,2.1320754716981134,0.0002,527,0.006554956082254648
2330,0.01,38,59,272,240.03703703703704,2.1666666666666665,0.0002,532,0.010708782821893692
2372,0.01,39,59,276,240.0909090909091,2.1636363636363636,0.0002,542,0.006975369527935982
2388,0.01,40,59,280,238.44642857142858,2.125,0.0002,546,0.009055987931787968
2424,0.01,40,59,284,238.44642857142858,2.125,0.0002,555,0.007063817232847214
2444,0.01,41,59,288,238.35087719298247,2.1228070175438596,0.0002,560,0.017478391528129578
2501,0.01,42,59,292,238.82758620689654,2.1379310344827585,0.0002,575,0.028700480237603188
2529,0.01,42,59,296,238.77966101694915,2.135593220338983,0.0002,582,0.014866577461361885
2549,0.01,42,59,300,237.81666666666666,2.1,0.0002,587,0.015090634115040302
2598,0.01,43,59,304,237.81666666666666,2.1,0.0002,599,0.010109801776707172
2634,0.01,44,59,308,238.50819672131146,2.1147540983606556,0.0002,608,0.007734267972409725
2663,0.01,45,59,312,238.51612903225808,2.1129032258064515,0.0002,615,0.008930597454309464
2698,0.01,45,59,316,239.015873015873,2.126984126984127,0.0002,624,0.0010106583358719945
2734,0.01,46,58,320,238.78125,2.125,0.0002,633,0.008665376342833042
2783,0.01,47,58,324,238.78125,2.125,0.0002,645,0.006257099565118551
2833,0.01,48,58,328,239.3230769230769,2.1384615384615384,0.0002,658,0.009029602631926537
2851,0.01,48,58,332,240.1060606060606,2.1515151515151514,0.0002,662,0.007510080933570862
