time/total_timesteps,rollout/exploration_rate,time/time_elapsed,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean
2998,0.01,9,311,360,234.79166666666666,1.8611111111111112
3034,0.01,9,312,364,234.79166666666666,1.8611111111111112
3084,0.01,9,312,368,235.43835616438355,1.8767123287671232
3138,0.01,10,313,372,235.67567567567568,1.8783783783783783
3173,0.01,10,313,376,237.53333333333333,1.92
3216,0.01,10,313,380,237.8421052631579,1.9342105263157894
3254,0.01,10,313,384,237.8421052631579,1.9342105263157894
3283,0.01,10,313,388,237.72727272727272,1.9350649350649352
3338,0.01,10,314,392,238.66666666666666,1.9487179487179487
3358,0.01,10,313,396,238.32911392405063,1.9367088607594938
3394,0.01,10,313,400,238.1625,1.9375
3450,0.01,10,314,404,238.1625,1.9375
3489,0.01,11,314,408,239.62962962962962,1.9753086419753085
3518,0.01,11,314,412,239.2560975609756,1.9634146341463414
3538,0.01,11,314,416,239.04819277108433,1.9518072289156627
3625,0.01,11,315,420,241.35714285714286,2.011904761904762
3679,0.01,11,316,424,241.35714285714286,2.011904761904762
3708,0.01,11,316,428,241.96470588235294,2.023529411764706
3733,0.01,11,316,432,241.63953488372093,2.0232558139534884
3772,0.01,11,316,436,241.79310344827587,2.0229885057471266
3813,0.01,12,316,440,241.98863636363637,2.022727272727273
3844,0.01,12,316,444,241.98863636363637,2.022727272727273
3880,0.01,12,316,448,241.48314606741573,2.0112359550561796
3900,0.01,12,316,452,241.38888888888889,2.011111111111111
3943,0.01,12,316,456,241.57142857142858,2.010989010989011
4004,0.01,12,317,460,242.4673913043478,2.032608695652174
4038,0.01,12,317,464,242.4673913043478,2.032608695652174
4058,0.01,12,317,468,242.25806451612902,2.032258064516129
4085,0.01,12,316,472,241.43617021276594,2.0106382978723403
4137,0.01,13,317,476,241.86315789473684,2.0210526315789474
4195,0.01,13,317,480,243.125,2.0520833333333335
4213,0.01,13,317,484,243.125,2.0520833333333335
4276,0.01,13,318,488,243.17525773195877,2.051546391752577
4303,0.01,13,318,492,243.6326530612245,2.061224489795918
4350,0.01,13,318,496,243.2929292929293,2.0505050505050506
4390,0.01,13,318,500,244.2,2.07
4444,0.01,13,318,504,244.2,2.07
4460,0.01,14,317,508,244.11,2.07
4525,0.01,14,317,512,243.58,2.06
4545,0.01,14,317,516,244.98,2.1
4589,0.01,14,317,520,245.48,2.12
4609,0.01,14,317,524,245.48,2.12
4629,0.01,14,317,528,245.19,2.1
4649,0.01,14,316,532,244.58,2.08
4701,0.01,14,316,536,245.51,2.1
4749,0.01,14,317,540,246.26,2.12
4778,0.01,15,317,544,246.26,2.12
4829,0.01,15,317,548,246.8,2.13
4861,0.01,15,317,552,248.17,2.16
4916,0.01,15,317,556,248.8,2.18
4945,0.01,15,317,560,248.42,2.17
4981,0.01,15,317,564,248.42,2.17
