time/time_elapsed,time/episodes,time/fps,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
5,148,233,1234,0.6985377777777777,1.793103448275862,232.31034482758622,,,
5,152,234,1264,0.6960711111111111,1.8333333333333333,234.83333333333334,,,
5,156,233,1284,0.6944266666666669,1.7741935483870968,232.32258064516128,,,
5,160,234,1333,0.6903977777777779,1.8125,233.78125,,,
5,164,235,1369,0.6874377777777779,1.8125,233.78125,,,
5,168,234,1394,0.6853822222222223,1.8181818181818181,233.42424242424244,,,
6,172,233,1414,0.6837377777777778,1.7941176470588236,232.47058823529412,,,
6,176,232,1434,0.6820933333333334,1.7428571428571429,231.0,,,
6,180,232,1452,0.6806133333333334,1.6944444444444444,229.02777777777777,,,
6,184,231,1470,0.6791333333333333,1.6944444444444444,229.02777777777777,,,
6,188,232,1506,0.6761733333333333,1.6486486486486487,226.94594594594594,,,
6,192,231,1541,0.6732955555555555,1.6842105263157894,227.8684210526316,,,
6,196,231,1569,0.6709933333333333,1.6923076923076923,228.46153846153845,,,
6,200,232,1600,0.6684444444444445,1.675,227.95,,,
7,204,233,1650,0.6643333333333332,1.675,227.95,,,
7,208,232,1668,0.6628533333333334,1.7073170731707317,229.29268292682926,,,
7,212,233,1730,0.6577555555555556,1.7142857142857142,229.85714285714286,,,
7,216,234,1779,0.6537266666666667,1.744186046511628,231.04651162790697,,,
7,220,233,1795,0.6524111111111113,1.75,231.11363636363637,,,
7,224,233,1815,0.6507666666666667,1.75,231.11363636363637,,,
7,228,233,1861,0.6469844444444444,1.711111111111111,229.95555555555555,,,
8,232,233,1879,0.6455044444444445,1.7391304347826086,230.7608695652174,,,
8,236,234,1942,0.6403244444444445,1.7872340425531914,232.93617021276594,,,
8,240,234,1969,0.6381044444444446,1.7708333333333333,232.08333333333334,,,
8,244,234,2023,0.6336644444444445,1.7708333333333333,232.08333333333334,0.02852037362754345,0.0006,5
8,248,233,2064,0.6302933333333335,1.816326530612245,234.40816326530611,0.011048547923564911,0.0006,15
