time/total_timesteps,rollout/exploration_rate,time/time_elapsed,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/loss
3540,0.01,21,166,428,233.49411764705883,1.776470588235294,1e-05,634,0.018635520711541176
3584,0.01,21,165,432,234.61627906976744,1.802325581395349,1e-05,645,0.020032232627272606
3604,0.01,21,165,436,233.97701149425288,1.7816091954022988,1e-05,650,0.03407052159309387
3642,0.01,22,165,440,234.1590909090909,1.7840909090909092,1e-05,660,0.03487720713019371
3681,0.01,22,164,444,234.1590909090909,1.7840909090909092,1e-05,670,0.017750661820173264
3735,0.01,22,164,448,234.1573033707865,1.7865168539325842,1e-05,683,0.0022961043287068605
3769,0.01,22,164,452,234.76666666666668,1.8,1e-05,692,0.03159819543361664
3815,0.01,23,164,456,235.05494505494505,1.8131868131868132,1e-05,703,0.021196674555540085
3847,0.01,23,163,460,235.54347826086956,1.826086956521739,1e-05,711,0.046637702733278275
3895,0.01,23,163,464,235.54347826086956,1.826086956521739,1e-05,723,0.033790234476327896
3929,0.01,24,163,468,236.01075268817203,1.8387096774193548,1e-05,732,0.017022769898176193
3962,0.01,24,163,472,235.72340425531914,1.8404255319148937,1e-05,740,0.05960997939109802
3978,0.01,24,162,476,235.52631578947367,1.8421052631578947,1e-05,744,0.015884198248386383
4010,0.01,24,162,480,235.28125,1.84375,1e-05,752,0.027150025591254234
4046,0.01,24,162,484,235.28125,1.84375,1e-05,761,0.019345829263329506
4084,0.01,25,162,488,235.24742268041237,1.8453608247422681,1e-05,770,0.08296647667884827
4116,0.01,25,161,492,235.8673469387755,1.8571428571428572,1e-05,778,0.005236973986029625
4143,0.01,25,161,496,235.5151515151515,1.8484848484848484,1e-05,785,0.017359018325805664
4203,0.01,26,161,500,236.57,1.87,1e-05,800,0.01994522288441658
4223,0.01,26,161,504,236.57,1.87,1e-05,805,0.0020589521154761314
4243,0.01,26,161,508,235.2,1.83,1e-05,810,0.03356390818953514
4263,0.01,26,160,512,234.37,1.81,1e-05,815,0.05360911041498184
4290,0.01,26,160,516,234.64,1.82,1e-05,822,0.0328671857714653
4327,0.01,26,160,520,234.84,1.83,1e-05,831,0.006181685719639063
4373,0.01,27,160,524,234.84,1.83,1e-05,843,0.044143881648778915
4393,0.01,27,159,528,235.59,1.84,1e-05,848,0.041240010410547256
4413,0.01,27,159,532,234.98,1.82,1e-05,853,0.021202070638537407
4433,0.01,27,159,536,234.63,1.81,1e-05,858,0.00865160021930933
4477,0.01,28,159,540,235.21,1.83,1e-05,869,0.03323386609554291
4523,0.01,28,159,544,235.21,1.83,1e-05,880,0.03427483141422272
4561,0.01,28,159,548,236.43,1.86,1e-05,890,0.011633346788585186
4627,0.01,29,158,552,238.71,1.91,1e-05,906,0.021177517250180244
4664,0.01,29,158,556,238.03,1.9,1e-05,915,0.03304575756192207
4713,0.01,29,158,560,238.9,1.92,1e-05,928,0.03469499200582504
4740,0.01,29,158,564,238.9,1.92,1e-05,934,0.006841781083494425
4778,0.01,30,158,568,239.26,1.93,1e-05,944,0.035901229828596115
4798,0.01,30,158,572,238.37,1.91,1e-05,949,0.032021671533584595
4836,0.01,30,158,576,238.64,1.92,1e-05,958,0.01818503998219967
4886,0.01,30,157,580,238.93,1.93,1e-05,971,0.04901670292019844
4924,0.01,31,157,584,238.93,1.93,1e-05,980,0.038260988891124725
4944,0.01,31,157,588,239.19,1.93,1e-05,985,0.006382256746292114
4980,0.01,31,157,592,239.12,1.93,1e-05,994,0.061590202152729034
4998,0.01,31,157,596,237.17,1.89,1e-05,999,0.005927071440964937
